[02:08:12] [Client thread/ERROR]: Can't find the resource index file: C:\Users\lenovo\.gradle\caches\forge_gradle\assets\indexes\1.13.json
[02:08:12] [Client thread/INFO]: Setting user: Player268
[02:08:18] [Client thread/INFO]: LWJGL Version: 3.1.6 build 14
[02:08:24] [Client thread/ERROR]: Couldn't set icon
java.io.FileNotFoundException: icons/icon_16x16.png
	at net.minecraft.resources.VanillaPack.getResourceStream(VanillaPack.java:77) ~[main/:?]
	at net.minecraft.client.MainWindow.loadIcon(MainWindow.java:143) [main/:?]
	at net.minecraft.client.MainWindow.<init>(MainWindow.java:101) [main/:?]
	at net.minecraft.client.renderer.VirtualScreen.createMainWindow(VirtualScreen.java:106) [main/:?]
	at net.minecraft.client.Minecraft.init(Minecraft.java:432) [main/:?]
	at net.minecraft.client.Minecraft.run(Minecraft.java:359) [main/:?]
	at net.minecraft.client.main.Main.main(Main.java:132) [main/:?]
	at mcp.client.Start.main(Start.java:17) [main/:?]
[02:08:28] [Client thread/INFO]: Reloading ResourceManager: Default
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:ambient.cave
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:ambient.underwater.enter
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:ambient.underwater.exit
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:ambient.underwater.loop
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:ambient.underwater.loop.additions
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:ambient.underwater.loop.additions.rare
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:ambient.underwater.loop.additions.ultra_rare
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.anvil.break
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.anvil.destroy
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.anvil.fall
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.anvil.hit
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.anvil.land
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.anvil.place
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.anvil.step
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.anvil.use
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.beacon.activate
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.beacon.ambient
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.beacon.deactivate
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.beacon.power_select
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.brewing_stand.brew
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.bubble_column.bubble_pop
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.bubble_column.upwards_ambient
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.bubble_column.upwards_inside
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.bubble_column.whirlpool_ambient
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.bubble_column.whirlpool_inside
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.chest.close
[02:08:29] [Client thread/WARN]: Missing sound for event: minecraft:block.chest.locked
